text,label
激动,兴奋
开心极了,兴奋
喜滋滋,兴奋
心里乐开花,兴奋
兴高采烈,兴奋
欢喜得很,兴奋
心头一热,兴奋
眉开眼笑,兴奋
乐得跳脚,兴奋
心情一下亮了,兴奋
喜形于色,兴奋
喜出望外,兴奋
大喜过望,兴奋
心花怒放,兴奋
乐不可支,兴奋
手舞足蹈,兴奋
欢呼雀跃,兴奋
眉飞色舞,兴奋
欣喜若狂,兴奋
情绪高昂,兴奋
精神大振,兴奋
满面春风,兴奋
喜不自胜,兴奋
心潮澎湃,兴奋
激动难耐,兴奋
笑逐颜开,兴奋
欣然应声,兴奋
兴致勃勃,兴奋
斗志昂扬,兴奋
意气风发,兴奋
忍不住小跑了两步,兴奋
整个人都亮了,兴奋
脚尖轻轻跳了跳,兴奋
眼睛一下子亮起来,兴奋
嘴角抑制不住地上扬,兴奋
忍不住拍了拍手,兴奋
脚步变得轻快,兴奋
双肩微微颤着,兴奋
呼吸一下急促了点,兴奋
语气变得活泼起来,兴奋
整个人像被点亮,兴奋
说话都有些快起来,兴奋
忍不住来回走动,兴奋
双手不停地比划,兴奋
站也站不住了,兴奋
脚下像踩着弹簧,兴奋
声音一下拔高,兴奋
不自觉地挺直了腰,兴奋
目光变得闪闪发光,兴奋
跳了一下几乎要蹦起来,兴奋
整个人像被电到一样抖了一下,兴奋
双手挥舞着像是在庆祝,兴奋
忍不住原地转了个圈,兴奋
差点把手里的东西抛出去,兴奋
脚步在地板上轻轻敲着节奏,兴奋
整个人向前扑了一小步,兴奋
像小动物一样摇头晃脑,兴奋
耳朵一下竖了起来,兴奋
尾巴似乎要摇断了,兴奋
手指不停敲着桌子,兴奋
整个身体在座位上坐不住,兴奋
脚跟离地一上一下,兴奋
双脚在原地乱蹬,兴奋
像被打了鸡血一样精神,兴奋
仿佛瞬间充满能量,兴奋
整个人轻飘飘的像要飞起来,兴奋
忍不住抓住旁边的东西晃,兴奋
眼睛闪得像星星一样,兴奋
突然用力点了点头,兴奋
身体前倾像要冲过去,兴奋
嘴巴张开像要笑出来,兴奋
突然举起了拳头,兴奋
脚下轻轻跳了好几下,兴奋
整个人向前凑了一点,兴奋
一下子贴到你面前,兴奋
像猫一样在原地转圈,兴奋
忍不住抓着你的袖子摇晃,兴奋
整个人像被点燃,兴奋
“真的假的？太棒了吧！”,兴奋
“我忍不住了！”,兴奋
“这也太好了吧！”,兴奋
“嘿嘿，等不及了”,兴奋
“有点东西了！”,兴奋
“哎呀我直接起飞”,兴奋
“这下有意思了”,兴奋
“整个人都精神了”,兴奋
“好爽啊这一刻”,兴奋
“这感觉我爱了”,兴奋
“我已经坐不住了”,兴奋
“这一下有点燃”,兴奋
“嗓子都不自觉提高了”,兴奋
“我脑子一下炸开花”,兴奋
“哈？真的假的，我要疯了”,兴奋
“这下我醒了”,兴奋
“哎呦，这太刺激了”,兴奋
“我已经蹦起来了”,兴奋
“感觉整个人都在冒光”,兴奋
好恶心,厌恶
真反感,厌恶
难受,厌恶
看不下去,厌恶
头皮发麻,厌恶
浑身不自在,厌恶
忍不住皱眉,厌恶
想退开一点,厌恶
心里一阵发毛,厌恶
胃里翻腾了一下,厌恶
越看越别扭,厌恶
下意识躲开了,厌恶
汗毛倒立,厌恶
不想碰它,厌恶
眼神飘走了,厌恶
脸都皱起来了,厌恶
感觉整个人都别扭,厌恶
呼吸顿了一下,厌恶
忍不住皱起鼻子,厌恶
看一眼就难受,厌恶
脑袋嗡了一下,厌恶
整张脸都僵住了,厌恶
我想远离一点,厌恶
有点辣眼睛,厌恶
下意识把手缩回去,厌恶
心里泛起不适,厌恶
手脚都有点僵,厌恶
不由得皱起眉头,厌恶
本能想避开,厌恶
浑身起疙瘩,厌恶
想把头转过去,厌恶
看着就想后退,厌恶
想不自觉离远点,厌恶
心里直发紧,厌恶
感觉被触到逆鳞,厌恶
离谱得让人不舒服,厌恶
看着就不顺眼,厌恶
强烈想避开它,厌恶
心一下沉了下去,厌恶
只想远离这个东西,厌恶
内心明显排斥,厌恶
生理上不适,厌恶
呼吸变得混乱,厌恶
轻微抖了一下,厌恶
浑身发紧,厌恶
轻轻皱起了鼻梁,厌恶
想摆手拒绝,厌恶
忍不住后退半步,厌恶
这味道难以接受,厌恶
眼睛都不敢看,厌恶
直接移开目光,厌恶
心里一阵不快,厌恶
喉咙有点紧,厌恶
呼吸不顺了,厌恶
下意识捂住鼻子,厌恶
整个人都僵硬了,厌恶
忍不住偏过头,厌恶
心里拧成一团,厌恶
脚步往后挪了挪,厌恶
强烈抗拒靠近,厌恶
感觉快顶不住了,厌恶
脸色都有点变了,厌恶
想把视线甩开,厌恶
忍不住眯起眼,厌恶
气味刺得眼睛疼,厌恶
脑子里瞬间空白,厌恶
肩膀不自觉绷紧,厌恶
身体往后一缩,厌恶
皮肤都起反应了,厌恶
想把整个东西推远,厌恶
心里涌上一股不适,厌恶
眼角抽了一下,厌恶
呼吸明显放缓,厌恶
动作都僵住了,厌恶
下意识屏住呼吸,厌恶
心里泛起一阵酸,厌恶
看得我直皱眉头,厌恶
脚步不听使唤往后退,厌恶
胃里突然翻腾,厌恶
想立刻离开这里,厌恶
整个人不由自主后仰,厌恶
眼神里满是抗拒,厌恶
心里暗暗别扭,厌恶
忍不住侧了侧身,厌恶
如芒刺背,厌恶
心口隐隐一紧,厌恶
有点反胃的感觉,厌恶
手指都紧绷起来,厌恶
心底深处排斥,厌恶
额角跳了一下,厌恶
忍不住皱起整张脸,厌恶
感觉被击中了弱点,厌恶
想把手抽走,厌恶
全身都不太对劲,厌恶
头微微偏开了点,厌恶
看着就心烦,厌恶
只想快点结束,厌恶
整个人都想逃,厌恶
害怕,害怕
恐惧,害怕
惊恐,害怕
畏惧,害怕
胆怯,害怕
恐慌,害怕
骇人,害怕
毛骨悚然,害怕
不寒而栗,害怕
胆战心惊,害怕
魂飞魄散,害怕
闻风丧胆,害怕
望而生畏,害怕
瑟瑟发抖,害怕
战战兢兢,害怕
畏缩不前,害怕
惊恐万状,害怕
骇人听闻,害怕
害怕地发抖,害怕
恐惧地后退,害怕
惊恐地尖叫,害怕
畏惧地躲藏,害怕
胆怯地低头,害怕
恐慌地逃跑,害怕
骇人地凝视,害怕
毛骨悚然地感觉,害怕
不寒而栗地颤抖,害怕
胆战心惊地观察,害怕
魂飞魄散地瘫软,害怕
闻风丧胆地逃离,害怕
望而生畏地止步,害怕
瑟瑟发抖地抱紧自己,害怕
战战兢兢地前进,害怕
畏缩不前地退缩,害怕
惊恐万状地瞪大眼睛,害怕
骇人听闻地故事,害怕
身体微微颤抖,害怕
惊恐地后退一步,害怕
躲到角落蜷缩,害怕
小声啜泣,害怕
瞪大双眼,害怕
突然尖叫,害怕
心跳加速,害怕
冒出一身冷汗,害怕
腿软坐地,害怕
捂住嘴巴,害怕
抱头蹲下,害怕
眼泪直流,害怕
结巴地说不出话,害怕
呼吸变得急促,害怕
脸色瞬间苍白,害怕
发抖着后退,害怕
躲进衣柜里,害怕
惊恐地炸毛,害怕
尾巴夹在腿间,害怕
耳朵紧紧贴着头皮,害怕
突然跳起来,害怕
手足无措地乱转,害怕
眼泪汪汪地看着你,害怕
声音颤抖,害怕
身体僵硬,害怕
后退时绊倒,害怕
躲在你身后,害怕
小声嘀咕“别过来”,害怕
惊恐地捂住脸,害怕
发抖着跪下,害怕
眼泪鼻涕一起流,害怕
心跳快到胸口痛,害怕
冷汗直流,害怕
腿抖得站不稳,害怕
捂住眼睛不敢看,害怕
抱头鼠窜,害怕
啜泣不止,害怕
结巴地说“救...救命”,害怕
呼吸急促如风箱,害怕
脸色惨白,害怕
发抖着躲进角落,害怕
躲到门后,害怕
惊恐地转身逃跑,害怕
尾巴直竖,害怕
耳朵抖动不停,害怕
突然失声,害怕
慌乱中撞到东西,害怕
眼泪如雨下,害怕
声音尖利地叫喊,害怕
身体缩成一团,害怕
魂飞魄散地后退,害怕
心惊胆战地发抖,害怕
毛骨悚然地尖叫,害怕
胆战心惊地躲藏,害怕
不寒而栗地颤抖,害怕
惊恐地抓扯头发,害怕
害怕地咬指甲,害怕
慌张地左顾右盼,害怕
躲进厕所锁门,害怕
小声哭泣,害怕
瞪大眼睛盯着,害怕
突然抱住头,害怕
眼泪打转,害怕
心跳漏了一拍,害怕
冷汗浸湿衣服,害怕
腿软坐在地上,害怕
捂住嘴巴防止尖叫,害怕
抱紧枕头,害怕
啜泣着蜷缩,害怕
结巴地解释,害怕
呼吸变得浅快,害怕
脸色由红转白,害怕
发抖着寻求拥抱,害怕
躲到床底下,害怕
惊恐地指向前方,害怕
尾巴紧紧卷起,害怕
耳朵贴着头一动不敢动,害怕
突然僵住,害怕
慌乱中打翻东西,害怕
眼泪模糊视线,害怕
声音嘶哑地叫,害怕
身体紧贴墙壁,害怕
后退时撞墙,害怕
躲到你怀里颤抖,害怕
小声说“我害怕”,害怕
惊恐地闭上眼睛,害怕
发抖着抓住你的手,害怕
眼泪止不住,害怕
心跳声自己都能听见,害怕
冷汗从额头滴下,害怕
腿不听使唤,害怕
捂住耳朵摇头,害怕
抱头蹲在角落,害怕
啜泣到喘不过气,害怕
结巴地重复“不要”,害怕
呼吸几乎停止,害怕
脸色如纸,害怕
发抖着缩进沙发,害怕
躲到窗帘后面,害怕
惊恐地屏住呼吸,害怕
低头不敢看你,害羞
耳朵微微垂下,害羞
悄悄躲在你身后,害羞
轻轻拉住衣角,害羞
脸颊泛红,害羞
偷偷瞄了你一眼,害羞
小声嘟囔,害羞
手指轻轻绞在一起,害羞
偷偷撇开目光,害羞
捏了捏自己的衣角,害羞
害羞地玩着尾巴,害羞
轻轻扭动身体,害羞
脸颊通红,害羞
耳朵害羞地抖了抖,害羞
手足无措地站着,害羞
小小声地回答,害羞
轻轻用尾巴遮住脸,害羞
害羞地别开视线,害羞
悄悄往后退了一步,害羞
耳朵轻轻抖动,害羞
嘴角微微颤抖,害羞
不知所措地低下头,害羞
轻轻用爪子挡住脸,害羞
耳朵害羞地耷拉下来,害羞
悄悄捂住自己的脸,害羞
脸颊烧得通红,害羞
小声地嘀咕,害羞
低头揪着衣服,害羞
不安地踢了踢地面,害羞
脸红着轻轻点头,害羞
手指轻轻戳着衣角,害羞
偷瞄了一眼又迅速移开,害羞
害羞地捂住嘴巴,害羞
轻轻拽着自己的袖子,害羞
不安地绞动手指,害羞
咬着嘴唇,害羞
尾巴悄悄藏到身后,害羞
轻轻拉住你的袖子,害羞
小声地嗯了一下,害羞
耳朵红红的,害羞
轻轻侧过脸,害羞
偷看了一下又赶紧移开目光,害羞
害羞地轻轻跺脚,害羞
悄悄吞了口口水,害羞
用尾巴悄悄挡住自己,害羞
耳朵尖微微颤抖,害羞
偷偷瞟了一眼,害羞
双手紧紧抱着尾巴,害羞
轻轻靠近又立刻后退,害羞
害羞得不知道该说什么,害羞
轻轻咬着指尖,害羞
慌乱地理了理衣服,害羞
小声地咕哝了一下,害羞
尾巴害羞地缩起来,害羞
害羞得挠了挠耳朵,害羞
脸颊微微泛红,害羞
悄悄低下头,害羞
害羞地撩了撩头发,害羞
嘴唇微微颤抖,害羞
脚尖轻轻磨蹭着地面,害羞
微微颤抖着尾巴,害羞
轻轻按住自己的胸口,害羞
悄悄地躲开视线,害羞
轻轻捂住嘴巴,害羞
红着脸不敢说话,害羞
悄悄别过头去,害羞
轻轻拉住自己的袖口,害羞
害羞得缩了缩脖子,害羞
红着脸缩到角落里,害羞
尾巴害羞地摆动了一下,害羞
害羞地搓了搓手指,害羞
微微低头盯着地面,害羞
轻轻咬住嘴唇,害羞
手足无措地揪着衣角,害羞
眼神躲躲闪闪,害羞
微微侧过脸颊,害羞
悄悄往后退了一步,害羞
害羞地低下头去,害羞
耳朵尖微微发烫,害羞
偷偷瞥了你一眼,害羞
嘴角不安地抿着,害羞
小声地嘀咕,害羞
害羞地摸了摸鼻子,害羞
悄悄躲到你身后,害羞
轻轻拽着你的衣角,害羞
尾巴不安地动了动,害羞
紧张地绞着自己的尾巴,害羞
偷偷吸了一口气,害羞
脸红得像熟透的苹果,害羞
悄悄握紧拳头,害羞
小声地嗯了一下,害羞
耳朵害羞地轻轻垂下,害羞
害羞地捂住了脸,害羞
轻轻甩了甩尾巴,害羞
眼神闪烁,害羞
紧张得抖了抖耳朵,害羞
红着脸点了点头,害羞
害羞地偷偷瞄了一眼,害羞
用围巾遮住半张脸,害羞
轻声说“别看我”,害羞
慌张,慌张
失神,慌张
崩溃,慌张
忙乱,慌张
惊慌失措,慌张
六神无主,慌张
魂不守舍,慌张
失魂落魄,慌张
仓皇失措,慌张
惊惶失措,慌张
狼狈不堪,慌张
措手不及,慌张
心急火燎,慌张
如坐针毡,慌张
自暴自弃,慌张
慌张地跑,慌张
惊慌地叫,慌张
手忙脚乱,慌张
慌里慌张,慌张
慌手慌脚,慌张
心慌意乱,慌张
乱了阵脚,慌张
手足无措地站在原地,慌张
慌乱地左右张望,慌张
语无伦次地解释,慌张
心跳如擂鼓,慌张
额角渗出冷汗,慌张
手指不自觉地发抖,慌张
说话颠三倒四,慌张
六神无主地踱步,慌张
手忙脚乱地收拾东西,慌张
惊慌失措地后退,慌张
结结巴巴地道歉,慌张
脸色瞬间煞白,慌张
呼吸变得急促,慌张
眼神慌乱地游移,慌张
一把抓起包包就跑,慌张
手里的文件散落一地,慌张
不停地看时间,慌张
脚步凌乱地奔跑,慌张
声音不自觉地提高,慌张
胡乱地翻找口袋,慌张
大脑一片空白,慌张
手心里全是汗,慌张
说话前言不搭后语,慌张
慌乱中撞到门框,慌张
东张西望找出口,慌张
手指颤抖地按手机,慌张
语速快得听不清,慌张
不停地舔嘴唇,慌张
原地转圈不知如何是好,慌张
一把拉住路人问路,慌张
背包拉链都忘了拉,慌张
说话时不停眨眼,慌张
手抖得拿不稳东西,慌张
反复检查口袋,慌张
脚步踉跄差点摔倒,慌张
声音带着哭腔,慌张
胡乱地点头摇头,慌张
眼神不敢与人对视,慌张
手里的钥匙掉在地上,慌张
说话时不停摸脖子,慌张
呼吸紊乱不均匀,慌张
手指无意识地敲打桌面,慌张
突然站起来又坐下,慌张
不停地清嗓子,慌张
四处张望寻找帮助,慌张
手忙脚乱地翻包,慌张
说话时不停地摆手,慌张
额头布满细密汗珠,慌张
脚步犹豫不决,慌张
声音突然卡住,慌张
胡乱地整理头发,慌张
眼神飘忽不定,慌张
手里的手机差点滑落,慌张
说话时咬到舌头,慌张
不停地变换站姿,慌张
说话时重复同一个词,慌张
手指紧张地绞在一起,慌张
突然忘记重要的事情,慌张
不停地看手机时间,慌张
脚步匆忙撞到椅子,慌张
声音微微发颤,慌张
胡乱地翻看笔记,慌张
眼神中充满不安,慌张
手里的咖啡洒了出来,慌张
说话时不停推眼镜,慌张
呼吸变得浅快,慌张
手指冰凉,慌张
突然中断对话,慌张
不停地摸耳朵,慌张
四处寻找丢失的物品,慌张
手抖得解不开扣子,慌张
说话时语无伦次,慌张
脸色由红转白,慌张
脚步虚浮不稳,慌张
声音突然变小,慌张
胡乱地整理衣领,慌张
眼神求助般地张望,慌张
手里的袋子提反了,慌张
说话时不停咽口水,慌张
心跳声在耳边回响,慌张
手指僵硬不灵活,慌张
突然改变主意,慌张
不停地摆弄衣角,慌张
茫然地站在原地,慌张
手心里的手机滑落,慌张
说话时眼神闪烁,慌张
呼吸时而急促时而停滞,慌张
手指不停地开合,慌张
不停地看窗外,慌张
脚步杂乱无章,慌张
声音断断续续,慌张
整个人显得魂不守舍,慌张
方寸大乱地翻找,慌张
担心,担心
忧心忡忡,担心
焦虑不安,担心
提心吊胆,担心
寝食不安,担心
牵肠挂肚,担心
心烦意乱,担心
惶惶不可终日,担心
忧心如焚,担心
坐卧不宁,担心
担心地皱眉,担心
焦虑地搓手,担心
不安地叹气,担心
忧心地张望,担心
紧张地握拳,担心
“我担心”,担心
“会不会出事”,担心
“希望一切顺利”,担心
“千万别有问题”,担心
“好害怕出事”,担心
食不知味,担心
夜不能寐,担心
魂不守舍,担心
如坐针毡,担心
芒刺在背,担心
焦虑得胃痛,担心
担心得瘦了,担心
忧心忡忡地踱步,担心
忧心忡忡地望着窗外,担心
不安地来回踱步,担心
眉头紧锁地查看手机,担心
手指无意识地敲打桌面,担心
反复确认门是否锁好,担心
坐立不安地等待消息,担心
轻声叹气"怎么还没回来",担心
不停地查看时钟,担心
揉着发胀的太阳穴,担心
咬着嘴唇望向远方,担心
双手紧握放在胸前,担心
眼神中写满忧虑,担心
食不知味地吃着饭,担心
夜里翻来覆去睡不着,担心
频繁地刷新消息页面,担心
手心出汗仍紧握手机,担心
站在窗前久久不动,担心
小声自言自语"应该没事吧",担心
无意识地揪着衣角,担心
反复检查行李物品,担心
心神不宁地做着手工,担心
时不时看向门口,担心
深呼吸试图平静心情,担心
手指微微发抖,担心
轻声念叨"希望平安",担心
坐姿僵硬地盯着手机,担心
来回翻看聊天记录,担心
咬着指甲思考,担心
眼神飘忽不定,担心
轻轻摇头"千万别出事",担心
握紧拳头又松开,担心
不时查看天气预报,担心
揉着发疼的眉心,担心
声音微微发颤"还好吗",担心
坐立难安地搓着手,担心
反复确认行程安排,担心
低头默默祈祷,担心
无意识地在纸上乱画,担心
站在阳台久久张望,担心
轻声细语地询问情况,担心
手指紧张地交握,担心
不时查看电量,担心
眉头始终无法舒展,担心
坐姿前倾专注等待,担心
小声计算着时间,担心
轻轻拍着胸口安抚自己,担心
眼神中带着不安,担心
反复整理已整齐的物品,担心
站在路口四处张望,担心
声音轻柔地安慰他人,担心
手指不停地点着屏幕,担心
不时查看信号强度,担心
轻轻咬着下唇,担心
坐姿拘谨地等待消息,担心
小声重复着"会没事的",担心
无意识地摆弄钥匙,担心
站在电梯前频频回头,担心
声音低沉地询问进展,担心
手指在桌面上画圈,担心
不时查看监控画面,担心
眉头深锁地思考,担心
坐立不定地变换姿势,担心
轻声叹息"怎么这么慢",担心
握紧手机贴在耳边,担心
眼神焦虑地扫视周围,担心
反复打开又关上抽屉,担心
站在医院走廊来回走动,担心
声音带着急切"联系上了吗",担心
手指快速滑动屏幕,担心
不时查看电池电量,担心
眉头皱成川字,担心
坐姿紧绷如临大敌,担心
小声嘀咕"应该快到了",担心
无意识地卷着头发,担心
站在校门口翘首以盼,担心
声音微弱地自言自语,担心
手指不停地解锁手机,担心
不时查看网络连接,担心
轻轻揉着发酸的眼睛,担心
坐立不安地抖着腿,担心
低声呢喃"老天保佑",担心
握紧的拳头微微出汗,担心
眼神不停地瞟向时钟,担心
反复整理已经整齐的文件,担心
站在月台尽头张望,担心
声音带着压抑的焦虑,担心
手指在拨号键上徘徊,担心
不时查看消息提醒设置,担心
眉头紧蹙地望向远方,担心
坐姿僵硬地等待电话,担心
轻声自语"再等五分钟",担心
无意识地咬着手帕,担心
站在安检口不断回头,担心
声音带着颤抖"接电话啊",担心
手指快速敲击键盘,担心
不时查看飞行模式,担心
轻轻按着发闷的胸口,担心
坐立难安地整理衣领,担心
小声念叨"一定要平安",担心
握紧护身符默默祈祷,担心
眼神充满期待与不安,担心
反复确认手机音量,担心
站在出口处踮脚张望,担心
声音带着哭腔"快接电话",担心
手指在通讯录上滑动,担心
不时查看未接来电,担心
眉头始终无法放松,担心
无奈地叹了口气,无奈
扶额摇头,无奈
耷拉着耳朵叹气,无奈
死鱼眼看向一旁,无奈
扶着脸颊叹气,无奈
撇开视线不想说话,无奈
扶额闭眼深呼吸,无奈
面无表情地看向远方,无奈
揉着太阳穴叹气,无奈
"歪头露出""又来了""的表情",无奈
双手抱胸叹气,无奈
翻了个白眼但没说话,无奈
低头玩手指不想搭理,无奈
"拖着长音说""好好好""",无奈
扶额露出疲惫的微笑,无奈
"耸肩表示""随你便""",无奈
别过脸不想继续话题,无奈
干笑两声不再接话,无奈
摆摆手表示放弃争论,无奈
托腮发呆不想回应,无奈
垂着尾巴不想动弹,无奈
眼神放空看向天花板,无奈
揉着眉心叹气,无奈
嘴角抽搐但保持沉默,无奈
单手撑脸生无可恋,无奈
闭眼深呼吸平复心情,无奈
歪嘴露出苦笑,无奈
轻轻摇头不再反驳,无奈
双手一摊表示认输,无奈
拖着脚步慢慢走开,无奈
用尾巴轻轻拍地表达不满,无奈
斜眼瞥了一下但没说话,无奈
"小声嘀咕""算了算了""",无奈
抓了抓头发叹气,无奈
抿嘴露出勉强的笑容,无奈
低头玩衣角不接话,无奈
靠在墙上放空大脑,无奈
用手指敲桌面缓解烦躁,无奈
用尾巴挡住脸不想看,无奈
"干巴巴地说""你高兴就好""",无奈
扭头看向窗外发呆,无奈
用手扇风假装冷静,无奈
把脸埋进手掌里叹气,无奈
用脚尖轻轻点地打发时间,无奈
摆弄袖口转移注意力,无奈
轻轻咂嘴但没反驳,无奈
用手指卷着头发发呆,无奈
用尾巴尖轻轻拍打小腿,无奈
靠着墙慢慢滑坐下去,无奈
用手遮住眼睛深呼吸,无奈
用指甲轻轻敲击杯子,无奈
把玩自己的尾巴尖,无奈
用手指按揉太阳穴,无奈
用衣角擦并不存在的汗,无奈
把刘海往后捋叹气,无奈
用手指轻轻敲额头,无奈
用尾巴扫了扫地板,无奈
把脸转向一边不说话,无奈
用手掌撑着脸颊发呆,无奈
用脚尖画着小圆圈,无奈
把玩自己的发梢,无奈
用手指轻轻敲膝盖,无奈
用尾巴把自己稍微裹住,无奈
把手臂交叉在胸前,无奈
用手梳了梳耳朵的毛,无奈
用指甲轻轻刮桌面,无奈
把下巴搁在桌子上,无奈
用手指绕着圈玩,无奈
用尾巴轻轻缠住手腕,无奈
把手放进衣兜里叹气,无奈
用指节轻轻敲脑袋,无奈
把围巾拉高遮住半张脸,无奈
用手指点着桌面计数,无奈
用尾巴挡住半边身体,无奈
把手背贴在额头上,无奈
用指甲轻轻刮下巴,无奈
把玩自己的围巾末端,无奈
用手指轻轻点嘴唇,无奈
用尾巴轻轻拍打椅子,无奈
把手放在后颈上叹气,无奈
用指腹轻轻摩挲杯沿,无奈
把外套拉链拉上拉下,无奈
用手指卷着围巾玩,无奈
用尾巴尖轻轻扫地面,无奈
把手插在口袋里晃悠,无奈
用指甲轻轻刮脖子,无奈
把帽子往下拉了拉,无奈
用手指轻轻点太阳穴,无奈
用尾巴把自己裹得更紧,无奈
把手放在嘴边思考,无奈
用指节轻轻敲肩膀,无奈
把衣领竖起来遮脸,无奈
用手指轻轻敲大腿,无奈
用尾巴轻轻拍自己小腿,无奈
把手放在腰侧叹气,无奈
用指甲轻轻刮手臂,无奈
把袖子拉长盖住手掌,无奈
用手指轻轻点鼻梁,无奈
用尾巴轻轻缠住脚踝,无奈
把手放在桌下握拳,无奈
用指腹轻轻搓耳垂,无奈
把围巾绕了一圈又一圈,无奈
用手指轻轻敲椅背,无奈
用尾巴轻轻拍打地面,无奈
把手放在膝盖上握紧,无奈
用指甲轻轻刮裤子,无奈
把外套袖子卷了又放,无奈
生气,生气
愤怒,生气
恼火,生气
气愤,生气
暴怒,生气
愤慨,生气
不爽,生气
厌烦,生气
怒不可遏,生气
火冒三丈,生气
勃然大怒,生气
咬牙切齿,生气
愤愤不平,生气
怒目而视,生气
气急败坏,生气
怒火中烧,生气
七窍生烟,生气
怒发冲冠,生气
义愤填膺,生气
疾言厉色,生气
跺脚发泄,生气
拍桌子,生气
瞪眼,生气
皱眉,生气
叉腰,生气
甩手,生气
转身不理,生气
握紧拳头,生气
呼吸急促,生气
脸红脖子粗,生气
鼻孔张大,生气
嘴角抽搐,生气
眼睛冒火,生气
浑身颤抖,生气
大声吼叫,生气
摔门而出,生气
撕碎纸张,生气
砸东西,生气
踢飞椅子,生气
“我生气了！”,生气
“你太过分了！”,生气
“气死我了！”,生气
“不可原谅！”,生气
“真是的！”,生气
“我受不了了！”,生气
“你什么意思！”,生气
“太过分了！”,生气
“我恨你！”,生气
“滚开！”,生气
气呼呼地跺脚,生气
愤怒地瞪着你,生气
恼火地转身,生气
气愤地拍桌,生气
暴怒地吼叫,生气
愤慨地指责,生气
不爽地撇嘴,生气
厌烦地挥手,生气
怒不可遏地颤抖,生气
火冒三丈地发泄,生气
勃然大怒地砸东西,生气
咬牙切齿地说话,生气
愤愤不平地抱怨,生气
怒目而视地站着,生气
气急败坏地来回走,生气
怒火中烧地握拳,生气
七窍生烟地喘气,生气
怒发冲冠地咆哮,生气
义愤填膺地抗议,生气
疾言厉色地批评,生气
忍不住跺脚,生气
整个人都气炸了,生气
眼睛喷出怒火,生气
声音提高了八度,生气
拳头握得发白,生气
呼吸变得粗重,生气
脸色铁青,生气
浑身肌肉紧绷,生气
脚步重重地踩地,生气
甩头不理人,生气
叉腰瞪着你,生气
拍案而起,生气
愤然离去,生气
恶狠狠地盯着,生气
气冲冲地说话,生气
怒视着你,生气
气得发抖,生气
暴跳如雷,生气
怒不可抑,生气
愤懑不平,生气
“你竟敢这样！”,生气
“我绝对不会原谅你！”,生气
“这太不公平了！”,生气
“我受够了！”,生气
“你给我等着！”,生气
“气死我了，真是的！”,生气
“哼，不理你了！”,生气
“太过分了，我走了！”,生气
“我快爆炸了！”,生气
“愤怒到极点！”,生气
横眉冷对,生气
怒形于色,生气
气涌如山,生气
愤然作色,生气
怒目圆睁,生气
气冲牛斗,生气
“简直岂有此理！”,生气
“我忍无可忍了！”,生气
“这算什么！”,生气
疑惑,疑惑
困惑,疑惑
不解,疑惑
纳闷,疑惑
疑问,疑惑
迷茫,疑惑
怀疑,疑惑
奇怪,疑惑
诧异,疑惑
惊疑,疑惑
将信将疑,疑惑
半信半疑,疑惑
大惑不解,疑惑
疑团满腹,疑惑
满腹疑团,疑惑
疑神疑鬼,疑惑
满腹狐疑,疑惑
疑惑不解,疑惑
困惑不解,疑惑
莫名其妙,疑惑
不知所云,疑惑
一头雾水,疑惑
如堕五里雾中,疑惑
歪着头,疑惑
皱眉思考,疑惑
挠头,疑惑
眨眼睛,疑惑
托腮,疑惑
歪头看,疑惑
眯起眼睛,疑惑
竖起耳朵,疑惑
摇头,疑惑
耸肩,疑惑
抓耳挠腮,疑惑
左顾右盼,疑惑
东张西望,疑惑
抓头发,疑惑
咬嘴唇,疑惑
摸下巴,疑惑
托着下巴,疑惑
歪着脑袋,疑惑
“真的吗？”,疑惑
“什么意思？”,疑惑
“我不明白。”,疑惑
“为什么会这样？”,疑惑
“嗯？”,疑惑
“啊？”,疑惑
